iter	Passed	Remaining
0	43	21585
1	113	28363
2	182	30211
3	260	32248
4	304	30136
5	362	29847
6	454	32036
7	513	31570
8	606	33111
9	680	33336
10	739	32865
11	792	32216
12	879	32958
13	978	33970
14	1043	33739
15	1084	32806
16	1144	32510
17	1188	31817
18	1250	31653
19	1303	31278
20	1369	31240
21	1427	31011
22	1501	31140
23	1554	30836
24	1607	30541
25	1651	30116
26	1706	29898
27	1765	29757
28	1830	29725
29	1886	29562
30	1967	29762
31	2012	29430
32	2052	29040
33	2102	28821
34	2144	28486
35	2202	28385
36	2251	28174
37	2299	27961
38	2362	27920
39	2444	28108
40	2512	28128
41	2612	28486
42	2684	28525
43	2785	28870
44	2851	28832
45	2917	28796
46	3015	29066
47	3129	29471
48	3217	29613
49	3325	29930
50	3422	30131
51	3532	30429
52	3680	31044
53	3741	30903
54	3810	30832
55	3868	30674
56	3939	30621
57	3987	30391
58	4039	30195
59	4089	29992
60	4156	29915
61	4218	29798
62	4259	29545
63	4323	29453
64	4376	29289
65	4441	29203
66	4499	29080
67	4550	28909
68	4606	28775
69	4682	28764
70	4754	28727
71	4835	28744
72	4881	28554
73	4918	28316
74	4969	28159
75	5013	27970
76	5067	27836
77	5119	27699
78	5177	27592
79	5246	27543
80	5319	27515
81	5384	27446
82	5431	27287
83	5491	27194
84	5548	27089
85	5601	26964
86	5660	26870
87	5732	26836
88	5800	26785
89	5841	26612
90	5893	26490
91	5964	26449
92	6013	26316
93	6060	26177
94	6103	26021
95	6166	25952
96	6218	25837
97	6272	25728
98	6322	25608
99	6367	25470
100	6434	25419
101	6505	25384
102	6561	25291
103	6599	25127
104	6658	25049
105	6722	24985
106	6778	24897
107	6860	24902
108	6924	24837
109	6979	24747
110	7036	24660
111	7128	24695
112	7206	24681
113	7283	24661
114	7318	24500
115	7366	24386
116	7419	24287
117	7473	24193
118	7527	24102
119	7576	23991
120	7635	23916
121	7686	23816
122	7762	23791
123	7815	23699
124	7865	23595
125	7919	23508
126	7963	23388
127	8033	23346
128	8084	23251
129	8157	23216
130	8211	23128
131	8261	23031
132	8301	22905
133	8333	22761
134	8367	22623
135	8404	22494
136	8443	22372
137	8483	22252
138	8572	22264
139	8621	22170
140	8676	22091
141	8747	22053
142	8790	21945
143	8835	21843
144	8876	21730
145	8919	21627
146	8966	21530
147	9018	21449
148	9067	21359
149	9115	21268
150	9158	21167
